GAME_ID,GAME_DATE,SEASON,HOME_TEAM,AWAY_TEAM,HOME_PTS,AWAY_PTS,TOTAL_PTS,HOME_ADV_OFF_RATING,HOME_ADV_DEF_RATING,HOME_ADV_NET_RATING,HOME_ADV_PACE,HOME_ADV_TS_PCT,HOME_ADV_EFG_PCT,HOME_ADV_OREB_PCT,HOME_ADV_DREB_PCT,HOME_ADV_TM_TOV_PCT,HOME_ADV_AST_RATIO,HOME_ADV_PIE,AWAY_ADV_OFF_RATING,AWAY_ADV_DEF_RATING,AWAY_ADV_NET_RATING,AWAY_ADV_PACE,AWAY_ADV_TS_PCT,AWAY_ADV_EFG_PCT,AWAY_ADV_OREB_PCT,AWAY_ADV_DREB_PCT,AWAY_ADV_TM_TOV_PCT,AWAY_ADV_AST_RATIO,AWAY_ADV_PIE,HOME_ADV_OFF_RATING_RANK,HOME_ADV_DEF_RATING_RANK,HOME_ADV_NET_RATING_RANK,HOME_ADV_PACE_RANK,AWAY_ADV_OFF_RATING_RANK,AWAY_ADV_DEF_RATING_RANK,AWAY_ADV_NET_RATING_RANK,AWAY_ADV_PACE_RANK,LINE,AVG_PACE,AVG_OFF_RTG,PACE_X_OFF,PACE_DIFF,OFF_VS_DEF,DEF_VS_OFF,HOME_STRENGTH,AWAY_STRENGTH,STRENGTH_DIFF,TS_PCT_DIFF,REB_BATTLE,TOV_BATTLE,HOME_OFF_ADV,HOME_DEF_ADV
0022500002,2025-10-21,2025-26,Los Angeles Lakers,Golden State Warriors,109,119,228,116.0,116.6,-0.7,99.54,0.605,0.568,0.284,0.702,0.149,18.4,0.502,114.2,112.5,1.7,100.84,0.587,0.553,0.296,0.686,0.155,20.0,0.504,11,24,18,20,14,8,13,14,218.8,100.19,115.1,115.31868999999999,1.2999999999999972,3.5,2.3999999999999915,-0.006999999999999999,0.017,-0.024,0.018000000000000016,0.0039999999999998925,0.006000000000000005,1.7999999999999972,-4.099999999999994
0022500001,2025-10-21,2025-26,Oklahoma City Thunder,Houston Rockets,125,124,249,117.6,106.1,11.5,100.65,0.601,0.563,0.262,0.696,0.126,18.3,0.565,116.8,111.6,5.1,96.73,0.571,0.537,0.396,0.698,0.159,17.4,0.531,4,1,1,15,9,5,6,28,223.2,98.69,117.19999999999999,115.66467999999999,3.9200000000000017,6.0,-10.700000000000003,0.115,0.051,0.064,0.030000000000000027,-0.136,0.033,0.7999999999999972,5.5
0022500004,2025-10-22,2025-26,Dallas Mavericks,San Antonio Spurs,92,125,217,110.6,113.6,-3.0,102.57,0.568,0.533,0.277,0.7,0.141,17.6,0.489,117.2,110.5,6.7,100.99,0.589,0.551,0.306,0.715,0.137,18.8,0.533,26,14,23,4,7,3,4,13,215.2,101.78,113.9,115.92742,1.5799999999999983,0.09999999999999432,-3.6000000000000085,-0.03,0.067,-0.097,-0.02100000000000002,-0.04399999999999993,-0.003999999999999976,-6.6000000000000085,-3.0999999999999943
0022500086,2025-10-22,2025-26,Milwaukee Bucks,Washington Wizards,133,120,253,113.4,116.4,-3.0,98.52,0.592,0.567,0.262,0.696,0.147,18.9,0.481,109.3,119.9,-10.6,102.18,0.562,0.529,0.291,0.666,0.152,17.8,0.444,18,23,22,24,29,28,30,6,223.8,100.35,111.35,111.73972499999998,3.660000000000011,-6.5,7.1000000000000085,-0.03,-0.106,0.076,0.029999999999999916,0.0010000000000000009,0.0050000000000000044,4.1000000000000085,3.5
0022500082,2025-10-22,2025-26,Atlanta Hawks,Toronto Raptors,118,138,256,113.3,114.3,-1.0,102.88,0.578,0.547,0.278,0.694,0.138,20.5,0.496,113.7,111.8,1.9,99.32,0.572,0.537,0.305,0.689,0.139,20.3,0.516,19,16,19,3,17,6,12,21,218.6,101.1,113.5,114.74849999999998,3.5600000000000023,1.5,0.5999999999999943,-0.01,0.019,-0.028999999999999998,0.006000000000000005,-0.02199999999999991,0.0010000000000000009,-0.4000000000000057,-2.5
0022500088,2025-10-22,2025-26,Phoenix Suns,Sacramento Kings,120,116,236,113.2,112.6,0.7,98.46,0.566,0.533,0.33,0.673,0.15,17.5,0.493,109.5,119.9,-10.4,100.26,0.557,0.52,0.293,0.675,0.145,17.9,0.45,20,9,15,25,28,29,29,17,225.6,99.36,111.35,110.63735999999999,1.8000000000000114,-6.700000000000003,3.0999999999999943,0.006999999999999999,-0.10400000000000001,0.11100000000000002,0.008999999999999897,0.03500000000000014,-0.0050000000000000044,3.700000000000003,7.300000000000011
0022500080,2025-10-22,2025-26,Charlotte Hornets,Brooklyn Nets,136,117,253,117.3,114.8,2.5,98.27,0.587,0.549,0.357,0.725,0.16,18.6,0.506,109.7,117.6,-7.9,97.05,0.561,0.524,0.297,0.69,0.159,18.5,0.447,6,17,11,26,27,26,28,27,225.2,97.66,113.5,110.8441,1.2199999999999989,-0.29999999999999716,5.099999999999994,0.025,-0.079,0.10400000000000001,0.025999999999999912,0.09499999999999997,-0.0010000000000000009,7.599999999999994,2.799999999999997
0022500089,2025-10-22,2025-26,Portland Trail Blazers,Minnesota Timberwolves,114,118,232,113.0,115.6,-2.6,102.04,0.569,0.532,0.354,0.684,0.17,17.0,0.474,116.8,112.7,4.1,101.72,0.596,0.564,0.306,0.697,0.143,18.4,0.523,23,19,21,8,8,10,9,9,216.6,101.88,114.9,117.06012000000001,0.3200000000000074,0.29999999999999716,-1.2000000000000028,-0.026000000000000002,0.040999999999999995,-0.067,-0.027000000000000024,0.03500000000000003,-0.027000000000000024,-3.799999999999997,-2.8999999999999915
0022500087,2025-10-22,2025-26,Utah Jazz,LA Clippers,129,108,237,113.1,120.7,-7.6,103.16,0.579,0.538,0.301,0.698,0.153,20.0,0.467,115.3,115.7,-0.4,96.72,0.6,0.554,0.286,0.685,0.155,17.6,0.5,21,30,27,2,12,20,17,29,216.4,99.94,114.19999999999999,114.13148,6.439999999999998,-2.6000000000000085,5.400000000000006,-0.076,-0.004,-0.072,-0.02100000000000002,0.027999999999999803,0.0020000000000000018,-2.200000000000003,-5.0
0022500084,2025-10-22,2025-26,Chicago Bulls,Detroit Pistons,115,111,226,112.6,117.4,-4.8,102.33,0.582,0.55,0.277,0.712,0.145,19.8,0.484,116.4,108.3,8.1,100.5,0.576,0.54,0.354,0.692,0.151,18.4,0.547,24,25,24,5,10,2,2,16,213.6,101.41499999999999,114.5,116.120175,1.8299999999999983,4.299999999999997,1.0,-0.048,0.081,-0.129,0.006000000000000005,-0.05699999999999994,0.006000000000000005,-3.8000000000000114,-9.100000000000009
0022500085,2025-10-22,2025-26,Memphis Grizzlies,New Orleans Pelicans,128,122,250,113.1,115.6,-2.5,101.64,0.571,0.533,0.315,0.689,0.149,19.6,0.495,112.4,117.9,-5.4,101.24,0.564,0.524,0.309,0.671,0.139,17.4,0.475,22,18,20,10,25,27,25,12,221.4,101.44,112.75,114.37360000000001,0.4000000000000057,-4.800000000000011,3.1999999999999886,-0.025,-0.054000000000000006,0.029000000000000005,0.007000000000000006,0.02400000000000002,-0.009999999999999981,0.6999999999999886,2.3000000000000114
0022500003,2025-10-22,2025-26,New York Knicks,Cleveland Cavaliers,119,111,230,118.2,112.8,5.4,98.57,0.585,0.552,0.325,0.708,0.137,19.0,0.526,117.5,112.9,4.5,101.42,0.59,0.556,0.311,0.684,0.141,19.5,0.523,3,11,5,23,5,12,8,11,220.4,99.995,117.85,117.84410749999999,2.8500000000000085,5.299999999999997,-4.700000000000003,0.054000000000000006,0.045,0.009000000000000008,-0.0050000000000000044,0.03799999999999992,0.003999999999999976,0.7000000000000028,0.10000000000000853
0022500083,2025-10-22,2025-26,Boston Celtics,Philadelphia 76ers,116,117,233,120.0,112.0,8.0,95.55,0.579,0.551,0.34,0.697,0.127,17.7,0.531,114.9,114.2,0.7,100.02,0.575,0.531,0.311,0.672,0.136,17.4,0.499,2,7,3,30,13,15,14,19,223.6,97.785,117.45,114.84848249999999,4.469999999999999,5.799999999999997,-2.9000000000000057,0.08,0.006999999999999999,0.07300000000000001,0.0040000000000000036,0.05399999999999994,0.009000000000000008,5.099999999999994,2.200000000000003
0022500081,2025-10-22,2025-26,Orlando Magic,Miami Heat,125,121,246,113.7,113.4,0.4,100.24,0.573,0.528,0.303,0.709,0.136,18.5,0.505,114.1,111.5,2.6,104.9,0.572,0.534,0.296,0.706,0.135,19.2,0.515,16,13,16,18,15,4,10,1,218.9,102.57,113.9,116.82723,4.660000000000011,2.200000000000003,-0.6999999999999886,0.004,0.026000000000000002,-0.022000000000000002,0.0010000000000000009,0.010000000000000009,-0.0010000000000000009,-0.3999999999999915,-1.9000000000000057
0022500006,2025-10-23,2025-26,Golden State Warriors,Denver Nuggets,137,131,268,114.2,112.5,1.7,100.84,0.587,0.553,0.296,0.686,0.155,20.0,0.504,120.9,116.3,4.7,98.9,0.615,0.574,0.287,0.706,0.13,20.0,0.529,14,8,13,14,1,22,7,22,218.5,99.87,117.55000000000001,117.39718500000001,1.9399999999999977,-2.0999999999999943,-8.400000000000006,0.017,0.047,-0.03,-0.028000000000000025,-0.010999999999999899,-0.024999999999999994,-6.700000000000003,3.799999999999997
0022500005,2025-10-23,2025-26,Indiana Pacers,Oklahoma City Thunder,135,141,276,108.7,116.2,-7.6,102.09,0.559,0.522,0.267,0.7,0.142,18.4,0.46,117.6,106.1,11.5,100.65,0.601,0.563,0.262,0.696,0.126,18.3,0.565,30,21,26,7,4,1,1,15,210.4,101.37,113.15,114.70015500000001,1.4399999999999977,2.6000000000000085,-1.3999999999999915,-0.076,0.115,-0.191,-0.041999999999999926,0.009000000000000008,-0.015999999999999986,-8.899999999999991,-10.100000000000009
0022500018,2025-10-24,2025-26,New York Knicks,Boston Celtics,105,95,200,118.2,112.8,5.4,98.57,0.585,0.552,0.325,0.708,0.137,19.0,0.526,120.0,112.0,8.0,95.55,0.579,0.551,0.34,0.697,0.127,17.7,0.531,3,11,5,23,2,7,3,30,218.7,97.06,119.1,115.59845999999999,3.019999999999996,6.200000000000003,-7.200000000000003,0.054000000000000006,0.08,-0.025999999999999995,0.006000000000000005,-0.004000000000000115,-0.010000000000000009,-1.7999999999999972,-0.7999999999999972
0022500093,2025-10-24,2025-26,Houston Rockets,Detroit Pistons,111,115,226,116.8,111.6,5.1,96.73,0.571,0.537,0.396,0.698,0.159,17.4,0.531,116.4,108.3,8.1,100.5,0.576,0.54,0.354,0.692,0.151,18.4,0.547,9,5,6,28,10,2,2,16,218.5,98.61500000000001,116.6,114.98509,3.769999999999996,8.5,-4.800000000000011,0.051,0.081,-0.030000000000000006,-0.0050000000000000044,0.04799999999999993,-0.008000000000000007,0.3999999999999915,-3.299999999999997
0022500098,2025-10-24,2025-26,Sacramento Kings,Utah Jazz,105,104,209,109.5,119.9,-10.4,100.26,0.557,0.52,0.293,0.675,0.145,17.9,0.45,113.1,120.7,-7.6,103.16,0.579,0.538,0.301,0.698,0.153,20.0,0.467,28,29,29,17,21,30,27,2,218.6,101.71000000000001,111.3,113.20323,2.8999999999999915,-11.200000000000003,6.800000000000011,-0.10400000000000001,-0.076,-0.02800000000000001,-0.02199999999999991,-0.030999999999999917,0.008000000000000007,-3.5999999999999943,0.7999999999999972
0022500097,2025-10-24,2025-26,Portland Trail Blazers,Golden State Warriors,139,119,258,113.0,115.6,-2.6,102.04,0.569,0.532,0.354,0.684,0.17,17.0,0.474,114.2,112.5,1.7,100.84,0.587,0.553,0.296,0.686,0.155,20.0,0.504,23,19,21,8,14,8,13,14,217.8,101.44,113.6,115.23584,1.2000000000000028,0.5,1.3999999999999915,-0.026000000000000002,0.017,-0.043000000000000003,-0.018000000000000016,0.05599999999999994,-0.015000000000000013,-1.2000000000000028,-3.0999999999999943
0022500094,2025-10-24,2025-26,Memphis Grizzlies,Miami Heat,114,146,260,113.1,115.6,-2.5,101.64,0.571,0.533,0.315,0.689,0.149,19.6,0.495,114.1,111.5,2.6,104.9,0.572,0.534,0.296,0.706,0.135,19.2,0.515,22,18,20,10,15,4,10,1,217.4,103.27000000000001,113.6,117.31472,3.260000000000005,1.5999999999999943,1.5,-0.025,0.026000000000000002,-0.051000000000000004,-0.0010000000000000009,0.0020000000000000018,-0.013999999999999985,-1.0,-4.099999999999994
0022500092,2025-10-24,2025-26,Toronto Raptors,Milwaukee Bucks,116,122,238,113.7,111.8,1.9,99.32,0.572,0.537,0.305,0.689,0.139,20.3,0.516,113.4,116.4,-3.0,98.52,0.592,0.567,0.262,0.696,0.147,18.9,0.481,17,6,12,21,18,23,22,24,222.4,98.91999999999999,113.55000000000001,112.32366,0.7999999999999972,-2.700000000000003,-1.6000000000000085,0.019,-0.03,0.049,-0.020000000000000018,0.03600000000000003,0.00799999999999998,0.29999999999999716,4.6000000000000085
0022500099,2025-10-24,2025-26,LA Clippers,Phoenix Suns,129,102,231,115.3,115.7,-0.4,96.72,0.6,0.554,0.286,0.685,0.155,17.6,0.5,113.2,112.6,0.7,98.46,0.566,0.533,0.33,0.673,0.15,17.5,0.493,12,20,17,29,20,9,15,25,219.4,97.59,114.25,111.496575,1.7399999999999949,2.700000000000003,2.5,-0.004,0.006999999999999999,-0.011,0.03400000000000003,-0.03200000000000003,-0.0050000000000000044,2.0999999999999943,-3.1000000000000085
0022500096,2025-10-24,2025-26,Dallas Mavericks,Washington Wizards,107,117,224,110.6,113.6,-3.0,102.57,0.568,0.533,0.277,0.7,0.141,17.6,0.489,109.3,119.9,-10.6,102.18,0.562,0.529,0.291,0.666,0.152,17.8,0.444,26,14,23,4,29,28,30,6,223.8,102.375,109.94999999999999,112.56131249999999,0.38999999999998636,-9.300000000000011,4.299999999999997,-0.03,-0.106,0.076,0.005999999999999894,0.019999999999999907,0.01100000000000001,1.2999999999999972,6.300000000000011
0022500095,2025-10-24,2025-26,New Orleans Pelicans,San Antonio Spurs,116,120,236,112.4,117.9,-5.4,101.24,0.564,0.524,0.309,0.671,0.139,17.4,0.475,117.2,110.5,6.7,100.99,0.589,0.551,0.306,0.715,0.137,18.8,0.533,25,27,25,12,7,3,4,13,214.0,101.115,114.80000000000001,116.08002,0.25,1.9000000000000057,0.7000000000000028,-0.054000000000000006,0.067,-0.12100000000000001,-0.025000000000000022,-0.041000000000000036,-0.0020000000000000018,-4.799999999999997,-7.400000000000006
0022500091,2025-10-24,2025-26,Brooklyn Nets,Cleveland Cavaliers,124,131,255,109.7,117.6,-7.9,97.05,0.561,0.524,0.297,0.69,0.159,18.5,0.447,117.5,112.9,4.5,101.42,0.59,0.556,0.311,0.684,0.141,19.5,0.523,27,26,28,27,5,12,8,11,213.8,99.235,113.6,112.73096,4.3700000000000045,-3.200000000000003,0.09999999999999432,-0.079,0.045,-0.124,-0.028999999999999915,-0.008000000000000118,-0.018000000000000016,-7.799999999999997,-4.699999999999989
0022500090,2025-10-24,2025-26,Orlando Magic,Atlanta Hawks,107,111,218,113.7,113.4,0.4,100.24,0.573,0.528,0.303,0.709,0.136,18.5,0.505,113.3,114.3,-1.0,102.88,0.578,0.547,0.278,0.694,0.138,20.5,0.496,16,13,16,18,19,16,19,3,220.7,101.56,113.5,115.2706,2.6400000000000006,-0.5999999999999943,0.10000000000000853,0.004,-0.01,0.014,-0.0050000000000000044,0.040000000000000036,0.0020000000000000018,0.4000000000000057,0.8999999999999915
0022500019,2025-10-24,2025-26,Los Angeles Lakers,Minnesota Timberwolves,128,110,238,116.0,116.6,-0.7,99.54,0.605,0.568,0.284,0.702,0.149,18.4,0.502,116.8,112.7,4.1,101.72,0.596,0.564,0.306,0.697,0.143,18.4,0.523,11,24,18,20,8,10,9,9,217.6,100.63,116.4,117.13332,2.1799999999999926,3.299999999999997,-0.20000000000000284,-0.006999999999999999,0.040999999999999995,-0.047999999999999994,0.009000000000000008,-0.017000000000000015,-0.006000000000000005,-0.7999999999999972,-3.8999999999999915
0022500104,2025-10-25,2025-26,Denver Nuggets,Phoenix Suns,133,111,244,120.9,116.3,4.7,98.9,0.615,0.574,0.287,0.706,0.13,20.0,0.529,113.2,112.6,0.7,98.46,0.566,0.533,0.33,0.673,0.15,17.5,0.493,1,22,7,22,20,9,15,25,222.0,98.68,117.05000000000001,115.50494000000002,0.44000000000001194,8.300000000000011,3.0999999999999943,0.047,0.006999999999999999,0.04,0.049000000000000044,-0.010000000000000231,0.01999999999999999,7.700000000000003,-3.700000000000003
0022500102,2025-10-25,2025-26,Philadelphia 76ers,Charlotte Hornets,125,121,246,114.9,114.2,0.7,100.02,0.575,0.531,0.311,0.672,0.136,17.4,0.499,117.3,114.8,2.5,98.27,0.587,0.549,0.357,0.725,0.16,18.6,0.506,13,15,14,19,6,17,11,26,219.1,99.145,116.1,115.10734499999998,1.75,0.10000000000000853,-3.0999999999999943,0.006999999999999999,0.025,-0.018000000000000002,-0.01200000000000001,-0.09899999999999987,0.023999999999999994,-2.3999999999999915,0.5999999999999943
